BTCPrice$US,TargetFederalF,MiningDifficulty,Unemployment_%,CrudeOil$USD,Median_Consum,M2lag_5months
7194.00,1.55,13.01,3.6,63,3.7,5838.1
9346.00,1.58,15.2,3.5,56,2.9,5865.0
9599.00,0.65,16.6,4.4,34,3.0,5901.0
6437.00,0.05,13,14.8,27,2.1,5922.7
8672.00,0.05,16,13.3,32,3.0,5929.0
9463.00,0.08,15.1,11.1,40,1.6,5948.6
9145.00,0.09,15.8,10.2,43,4.1,5961.1
11322.00,0.10,16.8,8.4,45,2.6,6190.4
11679.00,0.09,17.4,7.8,41,1.1,6637.0
10795.00,0.09,19.3,6.8,41,1.8,6984.0
13781.00,0.09,20,6.7,44,1.4,7066.6
19633.00,0.09,19.4,6.7,50,1.4,7086.2
28994.00,0.09,20.6,6.4,55,1.2,7087.4
33114.00,0.08,20.8,6.2,62,2.8,7157.8
45159.00,0.07,21.7,6.1,65,2.5,7207.8
58926.00,0.07,21.9,6.1,68,2.9,7272.2
57714.00,0.06,23,5.8,73,3.3,7293.7
37293.00,0.08,21.2,5.9,70,3.8,7365.1
35035.00,0.10,15.6,5.4,74,3.0,7424.9
41480.00,0.09,14.3,5.1,83,4.1,7477.9
47099.00,0.08,17.2,4.7,80,4.9,7548.3
43816.00,0.08,10.1,4.5,74,6.6,7613.8
61320.00,0.08,21.7,4.1,80,5.9,7567.5
56907.00,0.08,22.3,3.9,75,4.9,7586.0
46311.00,0.08,24.3,4,85,6.7,7641.2
38481.00,0.08,26.6,3.8,94,6.4,7657.8
43194.00,0.20,27.9,3.6,112,6.2,7652.4
45554.00,0.33,28.3,3.7,106,6.9,7649.8
37713.00,0.77,29.8,3.6,112,7.6,7659.3
31792.00,1.21,30,3.6,117,8.0,7637.0
19820.00,1.68,29.6,3.5,105,6.0,7598.7
12226.00,2.33,28.2,3.6,97,8.0,7554.4
20050.00,2.56,31,3.5,90,7.7,7522.8
19431.00,3.08,28.2,3.6,93,6.7,7446.7
20494.00,3.78,36.8,3.6,90,5.9,7339.9
17168.00,4.10,35.4,3.5,81,6.6,7337.7
16547.00,4.33,34.2,3.4,84,7.4,7325.9
23137.00,4.57,37.6,3.6,83,7.9,7257.8
23150.00,4.65,42.8,3.5,79,4.6,7195.7
28473.00,4.83,46.8,3.4,83,5.2,7154.6
29227.00,5.06,48,3.7,75,4.8,7119.2
27128.00,5.08,49.6,3.6,74,4.4,7054.4
30471.00,5.12,50.7,3.5,80,2.5,7004.0
29230.00,5.33,52.3,3.8,85,4.4,6916.7
25934.00,5.33,54.3,3.8,92,5.2,6835.0
27967.00,5.33,57.2,3.8,88,3.5,6858.0
34657.00,5.33,62.2,3.7,82,5.1,6838.3
37718.00,5.33,76.1,3.7,77,4.2,6815.7
42280.00,5.33,72,3.7,79,6.5,6772.0
42569.00,5.33,75.5,3.9,81,4.6,6730.3
61166.00,5.33,79.04,3.8,85,4.3,6718.8
71333.00,5.33,83.5,3.9,89,4.3,6712.4
60609.00,5.33,85.2,4,83,3.0,6712.9
67489.00,5.33,84.4,4.1,82,2.4,6692.6
62673.00,5.33,83.7,4.3,84,3.8,6674.7
